# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.012018854539455077e+02,6.196828254442570055e-15,0.000000000000000000e+00,-3.149743987065420374e-07,-3.585312554585909322e-26,-9.760849034449490702e+00,8.999999999999998579e+01,-1.845449660150130537e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.100799477977486195e-03,-8.240178542724818705e-27
9.500000000000000000e+00,0.000000000000000000e+00,8.635210169516039161e-03,1.000000000228174031e+03,1.012018854539080905e+02,6.196828254440277626e-15,4.235164736271501695e-22,-2.958852824988522418e-07,2.198331103820969780e-25,-9.760849034430894022e+00,8.999999999999998579e+01,-1.757908366971167106e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.100799488111668750e-03,-7.849295008357919288e-27
1.950000000000000000e+01,0.000000000000000000e+00,1.772490508479615187e-02,1.000000000468455255e+03,1.012018854539811343e+02,6.196828254444751256e-15,0.000000000000000000e+00,-2.701004755297094103e-07,1.129079047147836158e-24,-9.760790826705239454e+00,8.999999999999998579e+01,-1.693726396845584113e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.133753982554690835e-03,-7.562713962838849568e-27
2.950000000000000000e+01,0.000000000000000000e+00,2.681460000007613101e-02,1.000000000709667802e+03,1.012018854541140627e+02,6.196828254452889934e-15,0.000000000000000000e+00,-3.810401016688800264e-07,-2.203224951673545650e-24,-9.761023657243537599e+00,8.999999999999998579e+01,-2.025444085160574000e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.001936208901702589e-03,-9.043877625289056282e-27
3.950000000000000000e+01,0.000000000000000000e+00,3.590429491535670342e-02,1.000000000949017704e+03,1.012018854535212284e+02,6.196828254416590499e-15,0.000000000000000000e+00,-2.250755586840941240e-07,5.313714145104161113e-24,-9.760907241881804808e+00,8.999999999999998579e+01,-1.830565580795567404e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.067845147560312569e-03,-8.173719145877490845e-27
4.950000000000000000e+01,0.000000000000000000e+00,4.499398983063704338e-02,1.000000001188367605e+03,1.012018854538587789e+02,6.196828254437258655e-15,4.235164736271501695e-22,-2.036435150999475133e-07,5.977541929510629476e-24,-9.760849034055604889e+00,8.999999999999998579e+01,-1.768408275709398703e-06,-1.895758319773386923e-22,2.558332872076200231e-19,-5.100799698906240652e-03,-7.896178499440684787e-27
5.950000000000000000e+01,0.000000000000000000e+00,5.408368474591690456e-02,1.000000001428648829e+03,1.012018854539639960e+02,6.196828254443702071e-15,0.000000000000000000e+00,-3.531783508085008760e-07,-2.440234928488410253e-24,-9.760907241411088009e+00,8.999999999999998579e+01,-1.839201376468575682e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.067845413184256416e-03,-8.212279123827952660e-27
6.950000000000000000e+01,0.000000000000000000e+00,6.317337966119683512e-02,1.000000001667998731e+03,1.012018854536515846e+02,6.196828254424572194e-15,0.000000000000000000e+00,-1.192193295705507319e-07,8.512831603745233284e-24,-9.760732618115728343e+00,8.999999999999998579e+01,-1.515902128601764239e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.166708964429749494e-03,-6.768704919298068406e-27
7.950000000000000000e+01,0.000000000000000000e+00,7.226307457647783428e-02,1.000000001908279955e+03,1.012018854534801591e+02,6.196828254414075611e-15,4.235164736271501695e-22,-6.306452474350416963e-09,1.894643097637427374e-23,-9.760907241132098733e+00,8.999999999999998579e+01,-1.853282510336120443e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.067845570328327609e-03,-8.275153262125033862e-27
8.950000000000000000e+01,0.000000000000000000e+00,8.135276949175659911e-02,1.000000002146698534e+03,1.012018854540333450e+02,6.196828254447948509e-15,0.000000000000000000e+00,-4.638528741591812713e-07,-1.103209916334461201e-23,-9.760907240136704743e+00,8.999999999999998579e+01,-1.665209399151664277e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.067846133425816385e-03,-7.435381769729203215e-27
9.950000000000000000e+01,0.000000000000000000e+00,9.044246440703880563e-02,1.000000002387911081e+03,1.012018854538914496e+02,6.196828254439259206e-15,4.235164736271501695e-22,-2.495664394289254445e-07,2.898653088953021527e-24,-9.760849032345145559e+00,8.999999999999998579e+01,-1.742820267987215630e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.100800665191516405e-03,-7.781924636690368714e-27
1.095000000000000000e+02,0.000000000000000000e+00,9.953215932231668228e-02,1.000000002628192306e+03,1.012018854542377255e+02,6.196828254460462210e-15,0.000000000000000000e+00,-3.430564249208379995e-07,-6.173203256309566570e-25,-9.760965447306844567e+00,8.999999999999998579e+01,-1.954525083768239107e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.034891952194630975e-03,-8.727214837805031175e-27
1.195000000000000000e+02,0.000000000000000000e+00,1.086218542375988888e-01,1.000000002868473530e+03,1.012018854534059642e+02,6.196828254409531772e-15,0.000000000000000000e+00,-9.118650625002410418e-08,1.428980174859617890e-23,-9.761023655081354278e+00,8.999999999999998579e+01,-1.905100179220672511e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.001937429313172388e-03,-8.506526055703033840e-27
1.295000000000000000e+02,0.000000000000000000e+00,1.177115491528862162e-01,1.000000003108754754e+03,1.012018854542884156e+02,6.196828254463567166e-15,4.235164736271501695e-22,-5.424771177719134021e-07,-1.520615580992542009e-23,-9.760907238644110251e+00,8.999999999999998579e+01,-1.726589578604684760e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.067846976760850136e-03,-7.709452446702436249e-27
1.395000000000000000e+02,0.000000000000000000e+00,1.268012440681584585e-01,1.000000003349967301e+03,1.012018854538443691e+02,6.196828254436376708e-15,4.235164736271501695e-22,-3.163421256850824363e-07,-3.190991886334222606e-24,-9.760674407320923507e+00,8.999999999999998579e+01,-1.551042638933561530e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.199665193961285417e-03,-6.925611978574298673e-27
1.495000000000000000e+02,0.000000000000000000e+00,1.358909389834370152e-01,1.000000003589317203e+03,1.012018854532805960e+02,6.196828254401854578e-15,0.000000000000000000e+00,3.925420158791591039e-08,2.228572414330995174e-23,-9.760907238969910082e+00,8.999999999999998579e+01,-1.905960037951138832e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.067846791538203888e-03,-8.510365439466004124e-27
1.595000000000000000e+02,0.000000000000000000e+00,1.449806338987215948e-01,1.000000003835186362e+03,1.012018854546962956e+02,6.196828254488541714e-15,4.235164736271501695e-22,-7.858469667984371499e-07,-2.999954152988057665e-23,-9.760849028436103580e+00,8.999999999999998579e+01,-1.737022139386314154e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.100802875725643677e-03,-7.756035220188366202e-27
1.695000000000000000e+02,0.000000000000000000e+00,1.540703288140030380e-01,1.000000004073604941e+03,1.012018854544152191e+02,6.196828254471331135e-15,0.000000000000000000e+00,-2.513597224160405538e-07,2.379131999838469316e-24,-9.760790821262050443e+00,8.999999999999998579e+01,-1.703553711305118837e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.133757057895015248e-03,-7.606594230879043160e-27
1.795000000000000000e+02,0.000000000000000000e+00,1.631600237292774591e-01,1.000000004315748811e+03,1.012018854536691634e+02,6.196828254425648200e-15,0.000000000000000000e+00,-2.933973064526033087e-07,2.246873528292345438e-24,-9.760965444239570132e+00,8.999999999999998579e+01,-1.937600533946808783e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.034893685844299242e-03,-8.651644468536608999e-27
1.895000000000000000e+02,0.000000000000000000e+00,1.722497186445574036e-01,1.000000004556030035e+03,1.012018854532759349e+02,6.196828254401569799e-15,4.235164736271501695e-22,-7.885274305940344518e-08,1.374291444942028081e-23,-9.760907236210922377e+00,8.999999999999998579e+01,-1.780298327548141589e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.067848351865443697e-03,-7.949269164631476806e-27
1.995000000000000000e+02,0.000000000000000000e+00,1.813394135598440926e-01,1.000000004796311259e+03,1.012018854531257688e+02,6.196828254392374836e-15,4.235164736271501695e-22,-3.237975281345319737e-07,-1.476353421586215948e-24,-9.760849026765932024e+00,8.999999999999998579e+01,-1.759149379700498891e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.100803819746514700e-03,-7.854836295494763407e-27
